Zyklus Nr.;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
Zeit [s];0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480
Temp. [¯C];--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
F1;14455;14225;15148;15633;15696;16141;16661;16884;16986;17279;17502;17683;17606;17560;17989;17877;17734;17591;17299;17381;17575;17508;17547;17597;17783;17654;17611;17804;17892;17877;17966;17731;18016;18294;18064;18076;18088;18174;18076;18262;18178;18206;18059;18204;18185;17987;17956;18053;18020
F2;45862;44744;44366;45352;45471;46584;45875;45597;45723;45703;46143;46392;46153;46717;46520;46849;46611;47028;46501;46934;47220;47167;46844;47088;47685;47337;47325;47530;47731;47779;48003;48014;48059;48906;49137;48719;49336;48910;49003;49190;49160;48913;49111;49095;49258;49202;48985;49155;49136
F3;18517;18159;18250;18452;18397;18293;18352;18415;18507;18420;18475;18441;18456;18693;18449;18605;18599;18533;18553;18596;18707;18524;18491;18595;18433;18657;18562;18518;18683;18666;18680;18573;18522;18628;18558;18571;18555;18454;18609;18687;18641;18654;18671;18700;18555;18660;18474;18560;18690
G1;27239;27051;25918;25805;24628;24944;24599;23858;24020;23600;23218;23704;23955;23477;23258;22528;21964;21333;20934;20562;20736;20132;19749;19474;19190;19075;19776;19424;20068;20710;20435;20093;20536;20714;20598;19771;20060;19792;20566;20965;21113;20690;20921;20850;20610;21042;21587;21905;22054
G2;23484;20366;18656;19897;23919;26800;24926;23806;23468;21630;22288;22314;23464;24039;23779;23640;23484;23690;23690;23846;23700;23459;23382;23317;23368;23176;23515;23206;23553;23100;22904;22973;22965;22956;23455;23213;22903;22931;22866;23147;22912;22622;22835;22758;22502;22251;22650;22557;22530
G3;28501;26868;26664;27370;26832;27996;28159;27649;27925;28028;28847;29212;30837;30186;28525;28335;27184;26614;26055;25962;26244;26321;26647;26841;26756;26949;26565;26232;25882;26028;25959;25494;25765;25315;25400;25024;25224;25090;24929;24709;24722;24915;24916;24718;24618;24462;24277;24285;24191
H1;37523;33087;33020;34426;35143;34239;33880;34881;32722;32184;29828;29273;28579;28988;31031;33794;34299;34047;33447;32763;33237;33031;31992;31557;30643;30981;30946;30397;30084;30001;29893;29887;29758;29456;29404;29098;29154;29229;28812;28927;28707;28378;28283;28406;28464;28668;28124;28218;28377
H2;32565;31321;31426;32652;33474;33026;32966;33233;32554;32965;32647;32842;32937;33059;33040;33375;32777;32989;32493;32120;31821;31986;32175;32582;31584;31393;30731;30572;30643;30481;30352;30173;28545;28706;28357;28133;28010;27894;27406;27173;27643;27326;27355;27041;26864;27138;27183;27080;27092
H3;34634;32262;31393;33606;32738;33812;32080;31442;29438;29128;29155;29019;29147;30273;31330;31402;32274;32741;32271;31608;31679;31271;32079;32129;32020;32226;31790;32037;31815;32202;31893;32330;31962;31782;31856;31199;31460;31455;31907;31260;31557;30801;31389;31142;31078;30834;30972;30986;30927
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Endzeit:;14.11.2025 13:22:53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
