EmissionswellenlÑnge;;;;535;nm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Exzitationsbandbreite;;;;20;nm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emissionsbandbreite;;;;25;nm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VerstÑrkung;;;;99;Optimal (100%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anzahl der Blitze;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Integrationszeit;;;;20;Ês;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verzîgerungszeit;;;;0;Ês;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ruhezeit;;;;0;ms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bereich der Platte;;;;B10-D12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Startzeit:;14.11.2025 11:13:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zyklus Nr.;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76
Zeit [s];0;8;16;24;32;40;48;56;64;72;80;88;96;104;112;120;128;136;144;152;160;168;176;184;192;200;208;216;224;232;240;248;256;264;272;280;288;296;304;312;320;328;336;344;352;360;368;376;384;392;400;408;416;424;432;440;448;456;464;472;480;488;496;504;512;520;528;536;544;552;560;568;576;584;592;600
Temp. [¯C];--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
B10;21657;21716;21452;21857;21494;21338;21325;21200;21444;21173;21072;21154;21139;21254;21177;21539;21299;21540;21316;21462;21317;21559;21604;21525;21459;21637;21735;21559;21760;21711;21602;21617;21739;21711;21515;21501;21466;21651;21496;21321;21277;21462;21182;21205;21078;20962;20950;21167;21115;21080;20926;21103;20993;20858;20878;20541;20898;20974;20911;20905;20747;20709;20857;20810;20739;20738;20654;20787;20975;20683;20821;20970;20948;20945;20959;20967
B11;21433;21396;21192;21044;20986;20912;20825;20646;20982;20872;20846;20929;20979;21174;20881;20977;21017;21151;20918;21099;21092;21182;21205;21091;21176;21247;21219;21118;21302;21273;21274;21155;21280;21333;21215;21201;21123;21372;21210;21064;21168;21233;21323;21175;21247;21067;21349;21354;21299;21054;20982;20945;20879;20846;20599;20508;20536;20366;20412;20529;20206;20256;20476;20333;20134;20152;19916;19877;20093;20052;19939;19873;19938;20005;19865;20019
B12;20747;21045;20743;20881;20788;20708;20636;20472;20729;20633;20671;20565;20740;20747;20725;20768;20760;20905;20823;20915;21000;21111;20920;20995;21167;21067;21045;21099;21276;21210;21060;21128;21336;21176;20972;21048;21113;21074;20992;20836;20709;20875;20848;20756;20666;20691;20654;20686;20703;20741;20631;20557;20482;20367;20230;20224;20402;20275;20255;20357;20221;20176;20431;20210;20319;20242;20304;20213;20407;20271;20424;20439;20385;20377;20447;20531
C10;19824;19963;19974;19717;19698;19773;19600;19785;19742;19653;19611;19645;19560;19578;19490;19434;19399;19192;19322;18978;18919;18936;18953;18958;18773;18706;18780;18744;18501;18744;18840;18775;18690;18890;18818;18912;18836;18826;18940;18909;19104;19068;19069;19215;19178;19382;19275;19336;19376;19564;19641;19554;19616;19775;19767;19688;19890;19788;19625;19475;19441;19417;19599;19318;19502;19736;19666;19742;19378;19627;19557;19717;19730;19651;19442;19640
C11;19203;19115;19139;19166;19073;18900;18604;18717;18875;18738;18534;18348;18452;18254;18267;18186;18067;17971;18055;17879;17841;17793;17797;17902;17793;17721;17727;17848;17707;17745;17914;17902;17952;18118;18120;18230;18145;18125;18268;18308;18532;18500;18585;18748;18685;18783;18921;18999;19046;19111;19106;19037;19089;19138;19041;18704;18710;18679;18678;18682;18720;18658;18752;18642;18644;18829;18722;18772;18678;18880;18693;18940;18861;18896;18595;18689
C12;22984;22955;22799;22560;22407;22351;22375;22311;22276;21985;22064;21620;21837;21603;21634;21570;21425;21422;21286;21361;21038;21315;20893;21050;21194;20852;20954;20906;21122;21156;21124;21263;21218;21284;21227;21128;21160;21230;21434;21484;21633;21794;21702;22094;21834;22050;22063;22005;22213;22261;22070;22351;22060;22186;21926;21581;21579;21568;21777;21798;21703;21801;22046;21655;21604;21666;21538;21686;21563;21870;21609;21719;21812;21736;21684;21632
D10;45314;46589;47746;48742;49236;50488;50917;52595;52740;53404;54127;54883;55374;55424;56825;56409;56435;57164;57450;58154;58287;59261;59477;59947;59764;60443;60824;60803;61033;60368;61547;61798;62023;62290;62535;62739;63183;62784;62652;63244;63522;63675;63530;64354;64099;64362;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER
D11;40529;41624;42863;43500;44237;44992;45454;47002;47150;47731;48719;49563;50290;50885;51186;51652;51613;52897;53492;54050;54269;54851;55400;56111;55408;55746;56306;56513;57106;56510;56772;57653;57880;57298;57781;56969;57609;57364;56829;58694;58513;58173;58001;58910;58492;58429;59585;59260;60149;60228;59411;60596;60422;60691;60930;60932;61266;60964;61159;61830;61987;62476;62961;62286;61509;62693;62666;63187;63486;63491;64229;64430;OVER;OVER;64705;64374
D12;40348;41393;42356;43558;44000;44961;45283;46472;47051;47859;48955;48863;50266;50647;51065;52161;51695;52957;53804;54109;54372;55408;55391;56006;55910;55814;56145;56244;56916;56681;57256;58187;57974;57693;58581;57960;58157;58857;57703;59092;59035;58694;58543;60027;58955;59391;60897;59823;60904;60944;60618;61719;61265;61617;60980;61876;62208;61444;61948;62342;62999;63209;63859;63880;63229;64290;64013;64196;64416;64373;OVER;OVER;OVER;OVER;OVER;OVER
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Endzeit:;14.11.2025 11:23:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
