Exzitationsbandbreite;;;;20;nm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emissionsbandbreite;;;;25;nm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VerstÑrkung;;;;106;Optimal (100%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anzahl der Blitze;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Integrationszeit;;;;20;Ês;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verzîgerungszeit;;;;0;Ês;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ruhezeit;;;;0;ms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bereich der Platte;;;;F10-H12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Startzeit:;14.11.2025 12:08:07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Warnung:;Die vorgegebene Kinetik-Intervall Zeit konnte nicht eingehalten werden (Zyklus):;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zyklus Nr.;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74
Zeit [s];0;8,2;16,5;24,7;32,9;41,1;49,4;57,6;65,8;74;82,2;90,5;98,7;106,9;115,1;123,4;131,6;139,8;148;156,3;164,5;172,7;180,9;189,2;197,4;205,6;213,8;222,1;230,3;238,5;246,7;255;263,2;271,4;279,6;287,9;296,1;304,3;312,5;320,8;329;337,2;345,5;353,7;361,9;370,1;378,4;386,6;394,8;403;411,3;419,5;427,7;435,9;444,2;452,4;460,6;468,8;477,1;485,3;493,5;501,7;510;518,2;526,4;534,6;542,9;551,1;559,3;567,5;575,8;584;592,2;600,4
Temp. [¯C];--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
PfFNT;14472;14745;15040;14999;14890;14938;14817;14681;14893;14833;14904;15273;15378;15580;15280;15514;15556;15681;15829;16038;16244;16442;16641;16660;16241;16334;16658;16400;15947;16126;16242;15966;16121;16997;16442;16803;16894;16626;16778;16721;16779;16913;16771;16687;16591;16551;16873;16733;16926;17308;17343;17324;17790;17785;17603;17913;17385;17009;17018;16430;16665;16882;16872;17088;17190;17101;16964;17252;17703;18011;17192;16860;17188;17287
F11;12613;12575;12751;12875;12891;12920;13035;13151;13502;13541;13447;13773;13839;13986;14056;14254;14243;14242;14273;14362;14568;14623;14716;14824;14489;14685;14837;14543;14714;14651;14729;14550;14549;14946;14567;14919;15008;14970;14981;15076;15025;14932;14872;15010;14992;14844;15049;15032;14999;15181;15066;15395;15715;15684;15677;15871;15580;15081;15219;14927;15000;15394;15268;15328;15374;15320;15342;15275;15717;16269;15532;15691;15773;15870
F12;12622;12586;12627;13124;13046;13256;12947;13222;13391;13401;13449;13381;13400;13523;13215;13292;13357;13476;13471;13412;13378;13595;13501;13928;13576;13830;13632;13382;13551;13563;13420;13428;13345;13445;13297;13668;13566;13469;13508;13642;13303;13410;13324;13627;13360;13466;13515;13458;13351;12989;13105;13448;13567;13384;13072;13634;13579;13186;13718;13440;13411;13514;13432;13492;13524;13204;13281;13181;13276;13567;13399;13631;13515;13766
G10;15302;15549;15659;15453;15661;15687;15333;15355;15395;15453;15532;15737;15710;15983;15795;16239;15739;16127;15899;15859;16371;16294;16293;16238;16262;16403;16249;16247;15862;15886;16248;16039;15679;16105;15646;16210;16249;16158;16035;16482;16135;16291;16261;16392;16105;15981;15833;16033;15826;15951;15577;15483;15985;15775;16139;16076;16085;16134;15843;15544;15606;15905;15867;16303;15989;15760;15867;16009;15380;15930;16106;15885;15826;16011
G11;15627;15869;15848;15728;15983;15921;15655;15589;15674;15607;15674;15851;15940;15982;15775;16101;15754;16061;15980;15959;16480;16434;16433;16608;16627;16991;16851;16541;16155;16104;16432;16578;16082;16625;16165;16384;16646;16468;16455;16573;16535;16680;16481;16633;16380;16300;16182;16112;16256;16233;15969;16221;16279;16387;16441;16451;16547;16515;16536;16047;16098;16454;16174;16462;16029;15872;16334;16163;15528;16432;16500;16407;16319;16179
G12;14154;14040;14306;13816;14107;14263;13836;13857;13780;13773;13816;13953;13878;14259;13752;14189;13832;14004;14100;13973;14286;14323;14157;14422;14291;14639;14501;14304;14191;14111;14375;14467;14053;14217;14032;14238;14317;14266;14361;14229;14200;14319;14324;14335;14106;14250;14255;14197;14319;14082;13984;14116;14163;14197;14122;14100;13947;14158;14062;14006;13785;13978;13886;14013;13652;13545;13919;13695;13352;13495;13764;13768;13542;13570
H10;41203;41784;41510;42817;41821;42708;42199;42394;43548;43448;43135;43467;43550;44195;44636;44386;44814;45309;46390;45723;46308;47255;47703;47765;48423;48225;48502;47808;46997;47438;47662;47549;47353;48453;47967;49492;48935;49616;48448;48848;49616;49153;50452;49994;49827;50065;50603;50343;49230;50251;50096;50938;50738;50660;50617;51248;50501;50986;50497;50678;50779;50452;50784;50983;52388;63267;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER
H11;46033;46239;45392;46075;45895;46453;46638;46946;47499;48081;47583;48035;47991;48349;49735;48850;49334;48868;49888;49056;49285;50878;50856;50123;50112;49824;50689;49885;50296;50360;51234;51442;52067;52896;53291;53649;53174;53439;53271;53776;55114;54614;55838;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER
H12;45387;44816;44575;45287;44506;44696;46092;46363;47096;48098;47897;48489;49126;50509;54563;56271;56335;56454;58056;59135;59898;61756;62815;63426;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER;OVER
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Endzeit:;14.11.2025 12:18:16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
