Integrationszeit;;;;20;Ês;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verzîgerungszeit;;;;0;Ês;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ruhezeit;;;;0;ms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bereich der Platte;;;;C7-E9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Startzeit:;14.11.2025 12:37:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zyklus Nr.;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
Zeit [s];0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600
Temp. [¯C];--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
C7;10303;10362;10218;10443;10363;10367;10333;10376;10260;10331;10270;10344;10273;10317;10320;10380;10242;10298;10201;10324;10112;10240;10270;10209;10237;10177;10036;10107;10144;10174;10211;10063;10157;10152;10171;10030;10069;10179;10294;10129;10136;10019;10151;10146;10165;9972;10087;10006;9979;10051;10077;10020;9900;9862;9758;9945;9937;9864;9870;9905;9702
C8;10125;10192;10061;10153;10121;10133;10065;10097;10047;10156;10074;10113;9972;10054;10114;10091;9990;10029;10164;10050;9992;10015;10051;9927;10030;10053;9913;9955;10006;9973;10010;10003;9946;9918;9967;9972;9807;9973;10016;9921;9926;9947;10024;9938;9888;9815;9883;9900;9836;9855;9885;9900;9825;9780;9815;9876;9763;9734;9773;9761;9610
C9;9965;9884;9855;9963;9825;9854;9844;9905;9763;9848;9847;9862;9767;9725;9879;9807;9668;9805;9733;9695;9736;9837;9743;9665;9880;9664;9646;9769;9591;9760;9673;9604;9519;9606;9553;9441;9398;9632;9460;9473;9497;9330;9479;9416;9446;9498;9466;9368;9541;9484;9522;9422;9434;9475;9485;9533;9527;9530;9582;9737;9541
D7;42378;43014;43802;44206;44369;45361;45832;46339;46913;47650;47822;49040;48823;49119;49810;50601;49851;50070;50704;50917;51337;51589;51990;51698;52256;52028;51451;52668;51942;52201;52742;52435;51870;52564;52554;52581;53066;53724;52581;53442;52498;52678;53737;53181;52289;53704;52580;52726;53027;53516;53990;52874;53052;52595;53491;52308;53328;53220;52797;52894;51904
D8;19010;19462;20145;20400;20694;20922;21241;21240;21497;21887;22159;22260;22028;22421;22694;22904;22550;22946;22966;23218;23326;23663;23748;23676;24105;23664;23581;24070;23949;24096;24259;24289;24172;23960;24169;24073;24139;24795;24170;24635;24233;24160;24805;24461;24491;24863;24658;24613;24732;24932;25025;24683;24766;24773;25197;24838;25219;25427;25149;25023;24682
D9;18766;19327;19700;20335;20399;20868;21075;21248;21531;21865;22064;22523;22509;22686;23056;23304;23138;23624;23662;23733;23757;24235;24510;24466;24372;24552;24502;24985;25043;25098;25282;25459;25661;25189;25666;25594;25729;25863;26096;26091;25793;25964;26352;26350;25854;26134;26506;26235;26349;26280;26389;26351;26306;26356;26361;26203;26308;26205;26131;26194;25304
E7;32748;32685;32722;33140;33691;33949;33807;34122;34476;34684;35047;35359;35339;35417;35580;35779;35926;35791;36114;36203;36452;36892;36828;37020;37221;37095;36607;36958;36988;37303;36987;36763;36861;37034;36923;36756;37038;37339;36638;36680;37240;36845;37163;36983;36634;37181;36710;36949;37391;37677;37630;37285;37408;37463;37679;37598;37699;37773;37782;37683;37870
E8;30168;30356;30260;30782;31210;31233;31675;31565;31595;32165;32362;32236;32347;32733;32611;32986;32942;32524;32878;33074;33387;33692;33666;33256;34237;34179;33221;33840;33661;34047;34275;34298;34537;34363;34379;34148;34378;34674;34185;34124;34249;34243;34451;34206;34224;34639;34335;34596;34885;34791;34919;34696;35123;34734;35156;35131;35418;35556;35240;35393;35249
E9;32316;33035;33100;33116;33731;33914;33722;33922;34088;34523;34735;34681;35215;35380;35350;35514;35920;35564;35885;36254;36031;36765;36616;36030;37137;36954;36491;36702;36201;36626;36697;36922;37001;36300;36226;36295;36438;36995;36006;36373;36653;36363;37056;36129;36628;36647;36381;36467;37036;36788;37006;36530;36773;36953;36980;37192;37481;37310;37325;37455;36969
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Endzeit:;14.11.2025 12:48:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
